state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_CT,enrollmetric,pp_stloc_raw_CT,pp_fed_raw_CT,pp_total_raw_CT,schoolstloc_raw_CT,schoolfed_raw_CT,schooltot_raw_CT,pp_total_norm_NERDS,site_tot_raw_CT,pp_site_private_raw_CT,pp_cent_private_raw_CT,ppsitestloc_operational_CT,ppcentstloc_operational_CT,pptotstloc_operational_CT,schoolstloc_operational_CT,schooltot_operational_CT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
CT,2018-2019,2850013,2850113,Achievement First Bridgeport Academy District,Achievement First Bridgeport Academy,900208,900208,,90020801493,1093.0,KG-12,4.0,1093,October Count Day,11580,511,12249,12656940,558523,13215463,12785.63038,11883014,158,0,10361,1377,11738,12829634,13388157,1,0,1,0,0,0,0
CT,2018-2019,2880013,2880113,Achievement First Hartford Academy District,Achievement First Hartford Academy,900212,900212,,90021201528,1112.0,KG-12,4.0,1112,October Count Day,12979,762,13868,14432648,847344,15279992,13841.92806,13841389,126,0,11685,1420,13105,14572760,15420104,1,0,1,0,0,0,0
CT,2018-2019,2790013,2795113,Amistad Academy District,Amistad Academy,900024,900024,,90002400981,1083.0,KG-12,4.0,1083,October Count Day,11528,567,12250,12484824,614061,13098885,12814.27978,11834129,119,35,10360,1322,11682,12651606,13265667,1,0,1,0,0,0,0
CT,2018-2019,10011,10111,Andover School District,Andover Elementary School,900030,900030,7300700130100.0,90003010001,191.0,PK-06,2.0,191,October Count Day,22725,639,23365,4340475,122049,4462524,26686.86387,4000343,0,0,20306,2419,22725,4340475,4462524,1,0,1,0,0,0,0
CT,2018-2019,20011,26111,Ansonia School District,Ansonia High School,900060,900060,7200500130100.0,90006010002,565.0,09-12,4.0,565,October Count Day,18125,900,19054,10240625,508500,10749125,22304.10542,7716550,0,30,12902,5253,18155,10257575,10766075,1,0,1,0,0,0,0
CT,2018-2019,20011,25111,Ansonia School District,Ansonia Middle School,900060,900060,7200500130100.0,90006010008,335.0,07-08,3.0,335,October Count Day,14243,877,15150,4771405,293795,5065200,18400.10542,3267213,0,30,9020,5253,14273,4781455,5075250,1,0,1,0,0,0,0
CT,2018-2019,20011,20311,Ansonia School District,Mead School,900060,900060,7200500130100.0,90006000005,634.0,PK-06,2.0,634,October Count Day,12439,876,13347,7886326,555384,8441710,16597.10542,5040799,2,30,7218,5253,12471,7906614,8461998,1,0,1,0,0,0,0
CT,2018-2019,20011,20811,Ansonia School District,Prendergast School,900060,900060,7200500130100.0,90006001020,644.0,KG-06,2.0,644,October Count Day,12662,876,13568,8154328,564144,8718472,16818.10542,5262484,0,30,7439,5253,12692,8173648,8737792,1,0,1,0,0,0,0
CT,2018-2019,2440014,2445114,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,900070,900070,7500520100000.0,90007001358,709.0,06-08,3.0,709,October Count Day,19922,545,20617,14124698,386405,14511103,,10317728,0,150,14124,5948,20072,14231048,14617453,1,0,1,0,0,0,1
CT,2018-2019,2440014,2440314,Area Cooperative Educational Services,Wintergreen Interdistrict  Magnet School,900070,900070,7500520100000.0,90007000884,564.0,KG-08,3.0,564,October Count Day,21916,628,22694,12360624,354192,12714816,,9379271,0,150,16118,5948,22066,12445224,12799416,1,0,1,0,0,0,1
CT,2018-2019,30011,30111,Ashford School District,Ashford School,900090,900090,7300800130100.0,90009000010,409.0,PK-08,3.0,409,October Count Day,18516,631,19169,7573044,258079,7831123,22342.2934,6791165,22,0,15973,2565,18538,7582042,7840121,1,0,1,0,0,0,0
CT,2018-2019,40011,46111,Avon School District,Avon High School,900120,900120,7300200130100.0,90012000011,951.0,09-12,4.0,951,October Count Day,19459,191,19651,18505509,181641,18687150,22945.78967,16970659,1,0,17656,1804,19460,18506460,18688101,1,0,1,0,0,0,0
CT,2018-2019,40011,45111,Avon School District,Avon Middle School,900120,900120,7300200130100.0,90012000012,511.0,07-08,3.0,511,October Count Day,17259,234,17493,8819349,119574,8938923,20787.78967,8016386,1,0,15456,1804,17260,8819860,8939434,1,0,1,0,0,0,0
CT,2018-2019,40011,40411,Avon School District,Pine Grove School,900120,900120,7300200130100.0,90012010010,626.0,KG-04,2.0,626,October Count Day,14936,279,15218,9349936,174654,9524590,18512.78967,8395983,3,0,13135,1804,14939,9351814,9526468,1,0,1,0,0,0,0
CT,2018-2019,40011,40311,Avon School District,Roaring Brook School,900120,900120,7300200130100.0,90012000013,483.0,KG-04,2.0,483,October Count Day,16686,237,16923,8059338,114471,8173809,20217.78967,7301903,1,0,14883,1804,16687,8059821,8174292,1,0,1,0,0,0,0
CT,2018-2019,40011,40511,Avon School District,Thompson Brook School,900120,900120,7300200130100.0,90012001367,509.0,05-06,2.0,509,October Count Day,16711,231,16942,8505899,117579,8623478,20236.78967,7704692,1,0,14908,1804,16712,8506408,8623987,1,0,1,0,0,0,0
CT,2018-2019,50011,50111,Barkhamsted School District,Barkhamsted Elementary School,900150,900150,7300300130100.0,90015000015,204.0,PK-06,2.0,204,October Count Day,18467,679,19368,3767268,138516,3905784,22860.10619,2402789,129,94,11108,7582,18690,3812760,3951276,1,0,1,0,0,0,0
CT,2018-2019,70011,76111,Berlin School District,Berlin High School,900210,900210,7300200230100.0,90021000016,899.0,09-12,4.0,899,October Count Day,17982,288,18297,16165818,258912,16424730,20888.75888,12015382,7,20,13099,4910,18009,16190091,16449003,1,0,1,0,0,0,0
